movie_pic,score,movie_name,score_num,ranking
,8.5,阿飞正传,178620,182
,8.3,秒速5厘米,291205,183
,8.7,牯岭街少年杀人事件,105183,184
,8.5,谍影重重2,157193,185
,8.5,谍影重重,189533,186
,8.6,海盗电台,163894,187
,8.5,被解救的姜戈,256030,188
,8.9,惊魂记,81508,189
,8.4,魔女宅急便,191154,190
,8.5,再次出发之纽约遇见你,164834,191
,9.2,东京物语,49656,192
,8.7,绿里奇迹,104953,193
,8.4,青蛇,216936,194
,8.7,末路狂花,102997,195
,8.5,勇闯夺命岛,140083,196
,8.8,哪吒闹海,78427,197
,9.1,迁徙的鸟,51303,198
,9.0,忠犬八公物语,56406,199
,8.5,终结者2：审判日,138805,200
,8.6,荒野生存,125210,201
,8.6,卡萨布兰卡,122796,202
,8.5,这个男人来自地球,176124,203
,8.3,源代码,402420,204
,8.4,变脸,210915,205
,8.5,新龙门客栈,179665,206
,8.5,黑客帝国3：矩阵革命,152465,207
,8.6,燕尾蝶,106820,208
,9.1,黄金三镖客,50421,209
,9.2,城市之光,42761,210
,8.5,E.T. 外星人,149985,211
,8.4,英国病人,171920,212
,8.4,发条橙,183606,213
,8.4,美国丽人,182485,214
,8.4,无耻混蛋,219702,215
,8.6,叫我第一名,107038,216
,8.5,模仿游戏,249018,217
,8.3,穆赫兰道,230815,218
,8.3,初恋这件小事,450128,219
,8.6,非常嫌疑犯,114239,220
,8.7,头脑特工队,218406,221
,8.9,勇士,86256,222
,8.6,上帝也疯狂,94520,223
,8.8,房间,145769,224
,8.8,爱在午夜降临前,112617,225
,8.3,蓝色大门,269288,226
,8.6,无敌破坏王,180829,227
,9.0,爱·回家,46490,228
,8.5,血钻,128108,229
,8.3,国王的演讲,332466,230
,8.2,疯狂的石头,305458,231
,8.6,大卫·戈尔的一生,89664,232
,8.6,枪火,97609,233
,8.7,千钧一发,83167,234
,8.5,麦兜故事,125108,235
,8.7,一个叫欧维的男人决定去死,108216,236
,8.4,暖暖内含光,141764,237
,8.5,遗愿清单,124019,238
,8.3,曾经,199477,239
,8.8,步履不停,65980,240
,8.5,荒岛余生,130053,241
,8.4,彗星来的那一夜,167984,242
,9.0,我爱你,54954,243
,8.6,蝴蝶,93744,244
,8.5,月球,140397,245
,8.6,巴黎淘气帮,102992,246
,9.0,无人知晓,49925,247
,8.9,与狼共舞,55027,248
,8.5,偷拐抢骗,114031,249
,8.8,寿司之神,80668,250
